user,server,ilp_user,ilp_time,greedy_user,greedy_time,rl_user,rl_time,td3_user,td3_time
100.0,50.0,65.0,0.31663339999795426,59.0,0.017240300003322773,85.0,0.0,85.0,0.014058799992199056
100.0,50.0,65.0,0.3732679999957327,58.0,0.01609180000377819,85.0,0.0,85.0,0.013582400002633221
100.0,50.0,68.0,0.34510550000413787,66.0,0.016769900001236238,83.0,0.0,83.0,0.01621680000971537
100.0,50.0,64.0,0.2903846999979578,59.0,0.016711700009182096,86.0,0.0,86.0,0.014859000002616085
100.0,50.0,62.0,0.2536917999968864,56.0,0.01601989999471698,84.0,0.0,84.0,0.013843599997926503
100.0,50.0,68.0,0.29793630000494886,62.0,0.015029899994260632,82.0,0.0,82.0,0.013165600001229905
100.0,50.0,64.0,0.3045993000123417,58.0,0.015582199994241819,85.0,0.0,85.0,0.014046800002688542
100.0,50.0,67.0,0.5155557000107365,63.0,0.01551599999947939,83.0,0.0,83.0,0.014413700002478436
100.0,50.0,62.0,0.2398749999993015,58.0,0.015302100000553764,85.0,0.0,85.0,0.013714000000618398
100.0,50.0,71.0,0.2877234000043245,64.0,0.01681109999481123,87.0,0.0,87.0,0.014637800006312318
200.0,50.0,91.0,0.5307602000102634,83.0,0.031285599994589575,172.0,0.0,172.0,0.015335300005972385
200.0,50.0,94.0,0.4929303999961121,83.0,0.03088710000156425,156.0,0.0,156.0,0.01720210000348743
200.0,50.0,93.0,0.43539839998993557,77.0,0.0315814999921713,160.0,0.0,160.0,0.014415800003916956
200.0,50.0,83.0,0.4904180000012275,72.0,0.02939590001187753,145.0,0.0,145.0,0.015826900009415112
200.0,50.0,98.0,0.39940439999918453,87.0,0.03184219999820925,172.0,0.0,172.0,0.016065199990407564
200.0,50.0,91.0,0.47758649999741465,76.0,0.030992400003015064,162.0,0.0,162.0,0.014173500007018447
200.0,50.0,95.0,0.49966529999801423,84.0,0.03388260000792798,177.0,0.0,177.0,0.014599200003431179
200.0,50.0,91.0,0.6981547000032151,84.0,0.033847200000309385,154.0,0.0,154.0,0.01561760000186041
200.0,50.0,104.0,0.427398899992113,90.0,0.029509300002246164,162.0,0.0,162.0,0.014614200001233257
200.0,50.0,93.0,0.5051038999954471,82.0,0.031199199991533533,163.0,0.0,163.0,0.016887599995243363
300.0,50.0,110.0,0.5580712999944808,89.0,0.044287400000030175,271.0,0.0,271.0,0.01467370000318624
300.0,50.0,106.0,0.6846798000042327,94.0,0.04666730000462849,255.0,0.0,255.0,0.016710299998521805
300.0,50.0,106.0,0.6494730999984313,91.0,0.045444000003044493,244.0,0.0,244.0,0.018181000006734394
300.0,50.0,114.0,0.6644402999954764,95.0,0.042702599996118806,242.0,0.0,242.0,0.017965000006370246
300.0,50.0,101.0,0.7104631999973208,81.0,0.04772600000433158,235.0,0.0,235.0,0.01647180000145454
300.0,50.0,107.0,0.7848439999943366,90.0,0.04549659999611322,225.0,0.0,225.0,0.017105499995523132
300.0,50.0,108.0,0.6050509999913629,91.0,0.04533079999964684,227.0,0.0,227.0,0.017997299990383908
300.0,50.0,103.0,0.6120043999981135,85.0,0.04654530000698287,245.0,0.0,245.0,0.01656780000485014
300.0,50.0,100.0,0.920923199999379,80.0,0.043669700011378154,242.0,0.0,242.0,0.016104900001664646
300.0,50.0,110.0,0.7346727999974973,90.0,0.050266499994904734,251.0,0.0,251.0,0.0160364000039408
400.0,50.0,116.0,0.6067619999957969,91.0,0.0690601000096649,328.0,0.0,328.0,0.018425000002025627
400.0,50.0,112.0,0.6088297000096645,88.0,0.0660719000006793,313.0,0.0,313.0,0.016575800007558428
400.0,50.0,113.0,0.6728293999913149,87.0,0.05600879999110475,274.0,0.0,274.0,0.015555100006167777
400.0,50.0,113.0,0.6436460999975679,86.0,0.06504519999725744,332.0,0.0,332.0,0.017021999999997206
400.0,50.0,109.0,1.1116929999989225,91.0,0.06494860000384506,329.0,0.0,329.0,0.018731900010607205
400.0,50.0,111.0,0.5847170999913942,88.0,0.0570890000090003,340.0,0.0,340.0,0.016164700005901977
400.0,50.0,109.0,25.451718700001948,92.0,0.06922959999064915,312.0,0.0,312.0,0.018771899995044805
400.0,50.0,104.0,0.7869256999983918,86.0,0.06613269999797922,328.0,0.0,328.0,0.018631200000527315
400.0,50.0,108.0,0.7955808999977307,86.0,0.05748510001285467,321.0,0.0,321.0,0.015645400009816512
400.0,50.0,111.0,0.6320964000042295,86.0,0.06291900000360329,344.0,0.0,344.0,0.01935580000281334
500.0,50.0,109.0,1.3705165999999736,89.0,0.07254389999434352,424.0,0.0,424.0,0.016088100004708394
500.0,50.0,110.0,0.7398278999899048,88.0,0.07411029998911545,417.0,0.0,417.0,0.0163821000023745
