user,server,ilp_user,ilp_time,greedy_user,greedy_time,dqn_user,dqn_time,td3_user,td3_time,ddpg_user,ddpg_time
100.0,50.0,84.0,0.1330152000000453,84.0,0.018061600000010003,84.0,0.00794959999996081,84.0,0.014186700000038854,84.0,0.010596599999985301
100.0,50.0,82.0,0.13253120000001672,81.0,0.014536999999961608,82.0,0.00800579999997808,82.0,0.011446900000009919,82.0,0.010283300000025974
100.0,50.0,80.0,0.12745369999998957,80.0,0.015518100000008417,80.0,0.007970600000021477,80.0,0.010926399999959813,80.0,0.010011600000041199
100.0,50.0,84.0,0.15479000000004817,84.0,0.03932580000002872,84.0,0.008007500000019263,84.0,0.012284300000033,84.0,0.010952799999984109
100.0,50.0,87.0,0.1519008999999869,87.0,0.017230499999982385,87.0,0.008030800000028648,87.0,0.011490999999978158,87.0,0.009619100000008984
200.0,50.0,160.0,0.26041930000002367,160.0,0.032319200000017645,161.0,0.008858999999972639,161.0,0.011835799999971641,161.0,0.01300840000004655
200.0,50.0,164.0,0.32491540000000896,163.0,0.030063600000005408,164.0,0.008399599999961538,164.0,0.011530299999947147,164.0,0.010618899999997211
200.0,50.0,168.0,0.25958050000002686,168.0,0.03262730000000147,169.0,0.008513499999992291,169.0,0.012422399999991285,169.0,0.012090300000011212
200.0,50.0,166.0,0.25512430000003405,164.0,0.03149919999998474,167.0,0.008626300000003084,167.0,0.013626899999962916,167.0,0.012725299999999606
200.0,50.0,171.0,0.2348679000000402,170.0,0.03140229999996791,171.0,0.008595700000000761,171.0,0.011622700000032182,171.0,0.012391400000012709
300.0,50.0,247.0,0.3813013999999839,242.0,0.04726510000000417,247.0,0.009597199999973327,247.0,0.014816499999994903,247.0,0.013037199999985205
300.0,50.0,243.0,0.46477380000004587,240.0,0.04725650000000314,244.0,0.009292200000004414,244.0,0.012665900000001784,242.0,0.011687400000027992
300.0,50.0,248.0,0.3850585999999794,245.0,0.04881649999998672,251.0,0.008711000000005242,251.0,0.013660300000026382,251.0,0.014239599999996244
300.0,50.0,241.0,0.3836328999999523,238.0,0.04502039999999852,243.0,0.008902000000034604,243.0,0.012687099999993734,243.0,0.011105500000041957
300.0,50.0,240.0,0.5188543000000436,235.0,0.04853099999996857,251.0,0.009639699999979712,251.0,0.013108899999963342,239.0,0.013978899999983696
400.0,50.0,310.0,0.588856700000008,297.0,0.062451800000019375,331.0,0.009580799999980627,331.0,0.012876500000004398,323.0,0.014795300000002953
400.0,50.0,305.0,0.5992041000000086,291.0,0.0601509000000533,317.0,0.009553999999980078,317.0,0.013102199999991626,307.0,0.013788599999998041
400.0,50.0,300.0,0.6329214000000434,293.0,0.05759109999996781,311.0,0.009421299999985422,311.0,0.01502549999997882,304.0,0.012881499999991775
400.0,50.0,337.0,0.599279700000011,320.0,0.07035629999995763,346.0,0.010878499999989799,346.0,0.014795399999968595,337.0,0.015487600000028579
400.0,50.0,302.0,0.6058821999999964,295.0,0.0627791000000002,309.0,0.009454199999993307,309.0,0.015826299999957882,303.0,0.014539700000000266
500.0,50.0,392.0,1.004758900000013,374.0,0.07778999999999314,408.0,0.0099936000000298,408.0,0.01361730000002126,386.0,0.013622499999996762
500.0,50.0,417.0,1.013476799999978,386.0,0.08070490000000063,438.0,0.011796299999957682,438.0,0.014154000000019096,417.0,0.013081100000022161
500.0,50.0,383.0,0.696312799999987,347.0,0.06900519999999233,395.0,0.00959520000003522,395.0,0.016227500000013606,382.0,0.012261599999987993
500.0,50.0,402.0,1.0176647000000116,370.0,0.07664310000001251,429.0,0.010040199999991728,428.0,0.015311199999985092,414.0,0.013299599999982092
500.0,50.0,393.0,0.7949828999999795,356.0,0.07969050000002653,409.0,0.010043699999982891,407.0,0.013102699999990364,393.0,0.012444600000037553
100.0,50.0,82.0,0.12020570000004227,82.0,0.015389400000003661,81.0,0.00795220000009067,81.0,0.012910300000044117,72.0,0.011591400000042995
100.0,50.0,81.0,0.11625249999997322,81.0,0.015983800000071824,81.0,0.00811590000000706,81.0,0.011005500000010215,71.0,0.010730200000011791
100.0,50.0,81.0,0.1123990999999478,81.0,0.01756569999997737,81.0,0.008254400000055284,81.0,0.011594599999966704,73.0,0.01168110000003253
100.0,50.0,85.0,0.11639170000000831,85.0,0.01643119999994269,85.0,0.00807550000001811,85.0,0.011148100000013983,77.0,0.00945000000001528
100.0,50.0,87.0,0.1182002000000466,87.0,0.016221200000018143,86.0,0.007805400000052032,86.0,0.013027099999931124,70.0,0.011674900000002708
200.0,50.0,170.0,0.2254858000000013,169.0,0.03221310000003541,170.0,0.008488199999987955,170.0,0.012981600000102844,145.0,0.01301130000001649
200.0,50.0,150.0,0.21952840000005835,150.0,0.027670700000044235,150.0,0.009277900000029149,150.0,0.014357899999936308,129.0,0.013080199999990327
200.0,50.0,151.0,0.31910070000003543,151.0,0.02919889999998304,151.0,0.008663100000035229,151.0,0.011620299999890449,123.0,0.010450799999944138
200.0,50.0,161.0,0.2375560000000405,161.0,0.03080160000001797,156.0,0.008809700000028897,156.0,0.012348100000053819,134.0,0.0110316000000239
200.0,50.0,150.0,0.19590129999994588,150.0,0.028509799999937968,149.0,0.00820889999999963,149.0,0.01295679999998356,116.0,0.01229969999997138
300.0,50.0,241.0,0.34967230000006566,232.0,0.04286319999994248,233.0,0.008895700000039142,232.0,0.011999100000025464,172.0,0.013258900000096219
300.0,50.0,253.0,0.44914110000001983,249.0,0.048888400000009824,242.0,0.008989000000042324,242.0,0.011987200000021403,178.0,0.011899999999968713
300.0,50.0,260.0,0.3603369999999586,256.0,0.05017850000001545,252.0,0.009056299999997464,252.0,0.012415400000008958,198.0,0.011105900000075053
300.0,50.0,237.0,0.39197169999999915,233.0,0.04620780000004743,229.0,0.009278299999891715,229.0,0.013383900000007998,173.0,0.013035800000011477
300.0,50.0,230.0,0.5070424000000457,226.0,0.051825000000008004,221.0,0.010163299999931041,219.0,0.012764700000047924,169.0,0.012132299999962015
400.0,50.0,314.0,0.5378829999999653,304.0,0.05981440000005023,280.0,0.009725499999944986,280.0,0.015045099999952072,209.0,0.011338199999954668
400.0,50.0,322.0,0.5943924000000607,314.0,0.05924929999991946,289.0,0.009190600000010818,288.0,0.014684299999998984,223.0,0.01319869999997536
400.0,50.0,293.0,0.7091739999999618,283.0,0.06031610000002274,281.0,0.009266500000080669,275.0,0.013141499999960615,216.0,0.01154430000008233
400.0,50.0,314.0,0.62552340000002,305.0,0.060387900000023365,286.0,0.009391300000061165,282.0,0.01259020000009059,218.0,0.011695199999962824
400.0,50.0,309.0,0.7294183999999859,296.0,0.0627322999999933,281.0,0.009849400000007336,281.0,0.012960399999997207,204.0,0.012488299999972696
500.0,50.0,378.0,0.7441981999999143,351.0,0.0796483999999964,342.0,0.01073380000002544,334.0,0.01671950000002198,256.0,0.013594399999988127
500.0,50.0,377.0,0.7857070000000022,357.0,0.07303840000008677,335.0,0.009958700000083809,334.0,0.013509900000030939,262.0,0.01204009999992195
500.0,50.0,407.0,2.4693187999999964,380.0,0.07628780000004554,327.0,0.010105899999985013,322.0,0.013677300000040304,242.0,0.012138600000071165
500.0,50.0,365.0,0.8292954999999438,345.0,0.08208090000005086,330.0,0.0109248999999636,326.0,0.014789699999937511,237.0,0.015760200000045188
500.0,50.0,371.0,1.3949390000000221,345.0,0.0750494000000117,317.0,0.009695899999996982,312.0,0.013116899999999987,247.0,0.012768699999924138
100.0,50.0,82.0,0.12131870000007439,82.0,0.017061000000012427,82.0,0.008628300000054878,82.0,0.013066500000036285,82.0,0.012984599999981583
100.0,50.0,75.0,0.12191749999999502,75.0,0.014148000000091088,75.0,0.008123899999986861,75.0,0.011010999999939486,75.0,0.01180140000008123
100.0,50.0,86.0,0.11787270000002081,86.0,0.016961799999990035,86.0,0.007919799999967836,86.0,0.011898200000018733,86.0,0.012736399999994319
100.0,50.0,86.0,0.2029095000000325,86.0,0.01603310000007241,86.0,0.007720299999959934,86.0,0.012151799999969626,86.0,0.011993299999971896
100.0,50.0,81.0,0.11328090000006341,81.0,0.016569699999990917,81.0,0.007877800000073876,81.0,0.011826899999960006,81.0,0.010286800000017138
100.0,50.0,85.0,0.11778470000001562,85.0,0.014713099999994483,85.0,0.007818100000008599,85.0,0.013061999999990803,85.0,0.009762000000023363
100.0,50.0,86.0,0.12171620000003713,86.0,0.016413999999940643,86.0,0.0077691999999842665,86.0,0.011574399999972229,86.0,0.010161300000049778
100.0,50.0,78.0,0.11706010000000333,78.0,0.015317400000071757,78.0,0.008322600000042257,78.0,0.013763899999958085,78.0,0.012514699999996992
100.0,50.0,74.0,0.11632859999997436,74.0,0.014354800000091927,74.0,0.007944500000007793,74.0,0.011333199999967292,74.0,0.010793999999918924
100.0,50.0,83.0,0.11233320000008007,83.0,0.01759160000005977,83.0,0.007990100000029088,83.0,0.01142729999992298,83.0,0.00997780000000148
100.0,50.0,84.0,0.1282767000000149,84.0,0.014684200000033343,84.0,0.008059800000069117,84.0,0.012745999999992819,84.0,0.011773199999993267
100.0,50.0,76.0,0.11756909999996878,76.0,0.014716900000053101,76.0,0.007908700000029967,76.0,0.011197999999922104,76.0,0.009692900000004556
100.0,50.0,79.0,0.20138329999997495,79.0,0.02024299999993673,79.0,0.009893599999941216,79.0,0.012921099999971375,79.0,0.011509400000022652
100.0,50.0,82.0,0.11523090000002867,82.0,0.016433799999958865,82.0,0.008307300000069517,82.0,0.01206159999992451,82.0,0.011617699999987963
100.0,50.0,85.0,0.11866169999996146,85.0,0.02943700000002991,85.0,0.025458699999944656,85.0,0.0237409999999727,85.0,0.010394000000019332
100.0,50.0,77.0,0.13905799999997726,77.0,0.01673049999999421,77.0,0.008333200000038232,77.0,0.012440500000025168,77.0,0.011484800000062023
100.0,50.0,83.0,0.11458110000000943,83.0,0.016856899999993402,83.0,0.007890800000041054,83.0,0.011512400000015077,83.0,0.010177799999951276
