user,server,greedy_user,greedy_time,ddpg_user,ddpg_time,td3_user,td3_time
100.0,50.0,85.0,0.014817300000231626,85.0,0.01124149999986912,85.0,0.011451000000306522
100.0,50.0,84.0,0.014629400000103487,84.0,0.010886800000207586,84.0,0.011140199999772449
100.0,50.0,82.0,0.016528999999991356,82.0,0.012168799999926705,82.0,0.010456199999680393
100.0,50.0,83.0,0.013841899999988527,83.0,0.012603300000137097,83.0,0.011491000000205531
100.0,50.0,85.0,0.016295899999931862,85.0,0.014059000000088417,85.0,0.015284000000065134
100.0,50.0,76.0,0.013880299999982526,76.0,0.013005700000121578,76.0,0.011338199999954668
100.0,50.0,82.0,0.017311200000222016,82.0,0.013207699999838951,82.0,0.0150272999999288
100.0,50.0,84.0,0.013877099999717757,84.0,0.011229100000036851,84.0,0.010918199999650824
100.0,50.0,84.0,0.01510920000009719,84.0,0.012568600000122387,84.0,0.011787000000367698
100.0,50.0,78.0,0.013891900000089663,78.0,0.011242900000070222,78.0,0.013167799999791896
100.0,50.0,75.0,0.013520299999981944,75.0,0.010916400000041904,75.0,0.010717999999997119
100.0,50.0,86.0,0.014787300000079995,86.0,0.010913500000242493,86.0,0.010763199999928474
100.0,50.0,84.0,0.0152856999998221,84.0,0.011354900000242196,84.0,0.01148239999974976
100.0,50.0,77.0,0.014443400000345719,77.0,0.011311599999771715,77.0,0.012192199999844888
100.0,50.0,87.0,0.015086299999893527,87.0,0.011509700000260636,87.0,0.01086780000014187
100.0,50.0,79.0,0.013872499999706633,79.0,0.010812799999712297,79.0,0.013338799999928597
100.0,50.0,74.0,0.014561999999841646,74.0,0.011532699999861507,74.0,0.010281299999860494
100.0,50.0,79.0,0.01354829999991125,79.0,0.012387799999942217,79.0,0.012847700000293116
100.0,50.0,81.0,0.014938700000129757,81.0,0.012707999999747699,81.0,0.014332000000194967
100.0,50.0,85.0,0.015974500000083935,85.0,0.010978100000102131,85.0,0.010713699999996606
100.0,50.0,83.0,0.015803299999788578,83.0,0.01251830000001064,83.0,0.011926900000162277
100.0,50.0,71.0,0.01368289999982153,70.0,0.012056699999902776,71.0,0.01056879999987359
100.0,50.0,77.0,0.017301299999871844,77.0,0.011181899999883171,77.0,0.012384000000110973
100.0,50.0,77.0,0.015112300000055257,77.0,0.011751600000025064,77.0,0.01258849999976519
100.0,50.0,73.0,0.015181400000074063,73.0,0.010842300000149407,73.0,0.014264899999943736
100.0,50.0,87.0,0.015296300000045449,87.0,0.01110160000007454,87.0,0.011416800000006333
100.0,50.0,82.0,0.015374399999927846,82.0,0.012816200000088429,82.0,0.011940399999730289
100.0,50.0,81.0,0.015521600000283797,81.0,0.010786199999984092,81.0,0.01352199999973891
100.0,50.0,89.0,0.01694329999963884,89.0,0.011958699999922828,89.0,0.01135889999977735
100.0,50.0,72.0,0.01419450000003053,72.0,0.013281800000186195,72.0,0.013931099999808794
100.0,50.0,73.0,0.013775800000075833,73.0,0.011930900000152178,73.0,0.011680199999773322
100.0,50.0,67.0,0.011907099999916682,67.0,0.011129999999866413,67.0,0.010921699999926204
100.0,50.0,79.0,0.014684799999940878,79.0,0.011275500000010652,79.0,0.01161339999998745
100.0,50.0,77.0,0.015416100000038568,77.0,0.011099599999852217,77.0,0.01341050000019095
100.0,50.0,84.0,0.01568589999988035,84.0,0.011355000000094151,84.0,0.010402699999758624
100.0,50.0,84.0,0.01846300000033807,84.0,0.010731699999723787,84.0,0.011787299999923562
100.0,50.0,83.0,0.014706800000112707,83.0,0.01112730000022566,83.0,0.010668300000361342
100.0,50.0,86.0,0.019088000000010652,86.0,0.011502600000312668,86.0,0.01369189999968512
100.0,50.0,90.0,0.01470820000031381,90.0,0.01122140000006766,90.0,0.011904299999969226
100.0,50.0,84.0,0.014627800000198476,84.0,0.01136190000033821,84.0,0.012791699999979755
100.0,50.0,83.0,0.01469489999999496,83.0,0.012479500000154076,83.0,0.011614099999860628
100.0,50.0,88.0,0.01716549999991912,88.0,0.011986500000148226,88.0,0.01092530000005354
100.0,50.0,87.0,0.015828200000214565,88.0,0.011621499999819207,88.0,0.010844099999758328
100.0,50.0,73.0,0.017160299999886774,73.0,0.012129199999890261,73.0,0.011572800000067218
100.0,50.0,74.0,0.015047100000174396,74.0,0.012539900000319903,74.0,0.011730100000022503
100.0,50.0,76.0,0.016313399999944522,76.0,0.011227800000142452,76.0,0.013223800000105257
100.0,50.0,77.0,0.01630029999978433,77.0,0.012244200000168348,77.0,0.010064099999908649
100.0,50.0,82.0,0.014366100000188453,82.0,0.011321400000269932,82.0,0.011203300000033778
100.0,50.0,84.0,0.018680599999697733,84.0,0.011232599999857484,84.0,0.011818299999958981
100.0,50.0,80.0,0.014582000000245898,80.0,0.01151739999977508,80.0,0.01300470000023779
200.0,50.0,139.0,0.0246422000000166,139.0,0.011878899999828718,139.0,0.011820700000043871
200.0,50.0,163.0,0.03301790000023175,163.0,0.011437300000125106,163.0,0.014609999999720458
200.0,50.0,164.0,0.02881569999999556,164.0,0.01188030000002982,164.0,0.012400300000081188
200.0,50.0,160.0,0.030655399999886868,160.0,0.01126029999977618,160.0,0.01246930000024804
200.0,50.0,170.0,0.02872720000004847,173.0,0.011803600000348524,174.0,0.010867699999835168
200.0,50.0,149.0,0.02684899999985646,149.0,0.011500000000069122,149.0,0.01277799999979834
200.0,50.0,161.0,0.030230000000301516,161.0,0.012524900000244088,161.0,0.012091000000054919
200.0,50.0,163.0,0.029962399999931222,163.0,0.01153440000007322,164.0,0.01332460000003266
