#{"t_start": 1669528629.1562078, "env_id": null}
r,l,t
7.5,1,34.372877
0.5,1,34.378856
2.5,1,34.380851
7.0,1,34.383843
3.0,1,34.385837
9.5,1,34.389852
-1.0,1,34.392818
4.5,1,34.394861
-10,1,34.397861
4.0,1,34.401846
3.5,1,34.403827
5.0,1,34.406782
3.5,1,34.408775
3.0,1,34.413818
8.5,1,34.415811
5.0,1,34.417803
6.5,1,34.419785
10.0,1,34.424757
7.0,1,34.42773
1.5,1,34.429724
6.5,1,34.431751
7.5,1,34.436701
3.5,1,34.438696
6.0,1,34.440691
6.0,1,34.443727
11.0,1,34.447723
3.0,1,34.450713
4.5,1,34.452721
12.0,1,34.454675
4.5,1,34.459639
4.5,1,34.461695
9.5,1,34.464681
4.0,1,34.466672
10.0,1,34.470611
8.0,1,34.473603
3.5,1,34.476595
2.0,1,34.47859
-1.5,1,34.482611
10.0,1,34.484596
7.5,1,34.487617
6.0,1,34.48956
6.5,1,34.494578
3.5,1,34.496541
7.0,1,34.498566
6.0,1,34.501555
-13,1,34.506515
7.5,1,34.508515
2.0,1,34.511502
10.5,1,34.513496
6.5,1,34.517535
4.5,1,34.520526
6.5,1,34.523497
3.0,1,34.526485
7.0,1,34.530501
6.5,1,34.533492
4.5,1,34.535495
8.0,1,34.537481
3.5,1,34.542448
7.0,1,34.545459
2.0,1,34.547455
-0.5,1,34.549433
12.5,1,34.554439
8.0,1,34.556381
7.0,1,34.558376
10.0,1,34.561411
6.5,1,34.56541
9.0,1,34.568398
9.5,1,34.570393
9.0,1,34.57234
6.5,1,34.577326
-13,1,34.579361
1.5,1,34.581352
6.5,1,34.584334
8.5,1,34.588295
6.5,1,34.590291
2.0,1,34.593283
5.5,1,34.595277
13.0,1,34.599316
7.5,1,34.602307
5.0,1,34.604307
0.0,1,34.606271
7.0,1,34.611242
-13,1,34.613269
6.5,1,34.616256
6.5,1,34.618251
2.5,1,34.622207
6.5,1,34.6252
2.5,1,34.627193
8.0,1,34.630185
4.0,1,34.63522
3.5,1,34.637214
4.5,1,34.640194
1.0,1,34.642175
6.0,1,34.647189
6.0,1,34.649196
6.5,1,34.651178
-0.5,1,34.653155
13.0,1,34.658132
10.0,1,34.661154
3.0,1,34.663129
11.0,1,34.665124
4.5,1,34.669116
8.0,1,34.672073
8.5,1,34.674067
8.0,1,34.676062
3.0,1,34.681084
9.0,1,34.683078
4.5,1,34.685068
9.0,1,34.688068
9.5,1,34.692019
9.5,1,34.695011
7.5,1,34.697041
8.0,1,34.69903
4.0,1,34.704037
9.0,1,34.705983
7.5,1,34.709009
5.0,1,34.71097
2.5,1,34.716008
8.0,1,34.717999
8.0,1,34.719995
11.5,1,34.72194
3.0,1,34.726959
4.0,1,34.729953
7.5,1,34.731942
7.5,1,34.733942
7.0,1,34.740934
12.0,1,34.743917
3.0,1,34.74691
4.5,1,34.748904
11.5,1,34.752892
7.5,1,34.755849
10.5,1,34.75788
4.5,1,34.760869
4.0,1,34.764862
9.5,1,34.766857
11.5,1,34.768846
9.0,1,34.771806
0.0,1,34.775821
11.0,1,34.778817
9.5,1,34.780814
0.5,1,34.782809
9.0,1,34.786767
4.5,1,34.789759
8.0,1,34.791753
7.5,1,34.793748
7.5,1,34.798783
6.0,1,34.800779
10.5,1,34.802761
2.5,1,34.805727
-13,1,34.810703
12.5,1,34.813694
10.0,1,34.815689
7.0,1,34.817684
9.5,1,34.822671
10.5,1,34.824665
-13,1,34.826662
5.0,1,34.829705
-13,1,34.833859
4.5,1,34.83585
5.5,1,34.838809
4.5,1,34.840803
7.0,1,34.845789
2.5,1,34.847784
6.0,1,34.849779
6.5,1,34.851774
8.5,1,34.857783
7.0,1,34.860804
8.5,1,34.863789
3.5,1,34.865771
5.5,1,34.870772
6.5,1,34.87275
10.0,1,34.87574
5.5,1,34.877747
8.5,1,34.882745
4.5,1,34.884738
2.0,1,34.886742
8.0,1,34.88971
6.5,1,34.893662
7.0,1,34.896712
10.5,1,34.898705
7.5,1,34.900698
3.5,1,34.90563
6.5,1,34.907624
11.0,1,34.909619
3.5,1,34.912611
5.5,1,34.916605
3.5,1,34.918598
4.5,1,34.921591
9.5,1,34.923586
5.5,1,34.928572
9.5,1,34.930568
4.5,1,34.933559
10.0,1,34.935596
5.0,1,34.939545
14.0,1,34.942536
11.5,1,34.94453
9.0,1,34.946545
6.0,1,34.951542
11.0,1,34.953538
8.0,1,34.955501
10.0,1,34.958493
6.5,1,34.962482
7.5,1,34.965474
9.5,1,34.967468
9.0,1,34.969484
9.5,1,34.974458
4.5,1,34.976442
10.5,1,34.979437
10.0,1,34.981431
5.0,1,34.985421
6.0,1,34.987416
-13,1,34.990436
-13,1,34.993396
3.0,1,34.998388
10.0,1,35.000422
7.0,1,35.002417
8.5,1,35.005363
15.0,1,35.009353
8.0,1,35.012345
10.5,1,35.014363
-13,1,35.016359
0.5,1,35.021356
12.0,1,35.02334
11.0,1,35.026308
10.5,1,35.028306
1.5,1,35.032296
12.5,1,35.035287
13.0,1,35.037283
6.5,1,35.039273
4.5,1,35.044292
2.0,1,35.046285
10.5,1,35.049277
0.0,1,35.051271
6.5,1,35.055264
5.5,1,35.057263
4.0,1,35.060252
12.5,1,35.062245
8.5,1,35.067232
2.5,1,35.069227
0.5,1,35.071223
9.0,1,35.074215
3.5,1,35.078169
9.0,1,35.081161
3.5,1,35.083155
9.5,1,35.08515
7.0,1,35.089141
5.5,1,35.092131
10.5,1,35.094126
4.5,1,35.097118
-10,1,35.102105
4.5,1,35.104099
6.0,1,35.106094
4.0,1,35.109086
2.0,1,35.113132
10.5,1,35.11511
7.0,1,35.118114
13.5,1,35.120111
3.5,1,35.125075
10.0,1,35.128085
8.0,1,35.130094
4.5,1,35.132079
4.0,1,35.137016
4.0,1,35.139006
8.0,1,35.142031
3.5,1,35.144027
-13,1,35.148746
6.0,1,35.150755
0.5,1,35.153733
7.0,1,35.155695
4.5,1,35.15971
5.0,1,35.162728
7.5,1,35.164723
5.5,1,35.167698
11.0,1,35.171689
-13,1,35.173646
-13,1,35.176639
7.5,1,35.178667
3.0,1,35.183624
11.0,1,35.185617
2.5,1,35.187632
9.5,1,35.190637
6.5,1,35.19459
5.5,1,35.197587
6.5,1,35.199581
9.0,1,35.201601
7.0,1,35.206582
7.0,1,35.208606
6.5,1,35.211579
2.5,1,35.213573
5.5,1,35.21753
13.0,1,35.220522
9.5,1,35.222517
3.0,1,35.225517
-13,1,35.230495
6.0,1,35.23249
7.5,1,35.234484
5.5,1,35.236479
4.5,1,35.241489
4.0,1,35.244457
15.0,1,35.247473
5.5,1,35.249479
4.0,1,35.254431
9.0,1,35.256426
1.0,1,35.259418
1.5,1,35.261412
4.5,1,35.265452
2.5,1,35.268443
-13,1,35.270447
10.5,1,35.272383
9.5,1,35.277404
6.5,1,35.279397
-13,1,35.281395
5.5,1,35.284403
8.0,1,35.288389
6.0,1,35.29134
1.5,1,35.293326
7.5,1,35.296348
2.0,1,35.300343
10.5,1,35.303355
7.0,1,35.305346
3.5,1,35.308287
7.5,1,35.313324
7.0,1,35.315317
11.5,1,35.317302
7.5,1,35.320287
15.0,1,35.324268
3.5,1,35.327264
10.0,1,35.329271
8.0,1,35.33126
7.0,1,35.335215
3.5,1,35.33721
7.5,1,35.340202
-10,1,35.343193
7.5,1,35.349176
2.0,1,35.351204
6.5,1,35.354196
4.0,1,35.35616
1.0,1,35.362143
-13,1,35.364138
5.5,1,35.367181
7.5,1,35.369173
13.5,1,35.374112
9.5,1,35.377114
11.0,1,35.379153
7.0,1,35.381146
12.0,1,35.385133
5.0,1,35.388122
6.5,1,35.390092
10.0,1,35.392086
12.0,1,35.397104
6.5,1,35.399095
10.0,1,35.40209
4.5,1,35.404083
7.5,1,35.408046
12.0,1,35.411012
5.0,1,35.41304
5.0,1,35.415035
2.0,1,35.420021
10.0,1,35.422981
6.5,1,35.424998
7.5,1,35.426977
4.5,1,35.43199
3.5,1,35.433951
10.0,1,35.436943
7.5,1,35.438938
10.5,1,35.443925
7.0,1,35.445969
7.0,1,35.448911
4.5,1,35.450908
9.5,1,35.454899
8.0,1,35.45789
8.5,1,35.459885
13.0,1,35.462873
4.0,1,35.467864
6.0,1,35.470855
2.0,1,35.472849
4.5,1,35.474864
4.0,1,35.479829
-0.5,1,35.481823
10.0,1,35.483818
5.0,1,35.486841
8.0,1,35.490823
8.5,1,35.492816
6.0,1,35.495828
8.0,1,35.497829
6.5,1,35.501821
5.5,1,35.503814
10.0,1,35.506757
7.5,1,35.508751
11.0,1,35.512741
10.5,1,35.515733
9.0,1,35.517728
5.0,1,35.519722
7.0,1,35.523736
7.0,1,35.526705
12.5,1,35.528739
9.5,1,35.53073
4.5,1,35.534682
13.5,1,35.537724
6.5,1,35.53967
5.5,1,35.542661
2.5,1,35.546699
5.0,1,35.548691
4.5,1,35.55167
3.5,1,35.553664
5.5,1,35.557654
5.0,1,35.560642
3.0,1,35.56264
12.0,1,35.564625
5.5,1,35.568625
11.5,1,35.571617
10.5,1,35.573606
6.5,1,35.576572
4.0,1,35.580563
8.0,1,35.582557
8.0,1,35.585549
3.5,1,35.587544
10.0,1,35.592558
1.5,1,35.595553
9.0,1,35.597546
8.0,1,35.59954
5.5,1,35.603539
0.0,1,35.606491
3.0,1,35.60852
0.5,1,35.611503
6.5,1,35.615499
6.5,1,35.617496
8.0,1,35.619489
2.0,1,35.622448
9.5,1,35.62644
4.5,1,35.62948
4.0,1,35.631459
6.5,1,35.633453
10.0,1,35.637441
9.0,1,35.639403
11.5,1,35.642417
10.0,1,35.644422
10.5,1,35.648379
6.0,1,35.650373
10.5,1,35.653365
6.0,1,35.65536
9.0,1,35.659372
10.0,1,35.662341
8.5,1,35.664386
6.5,1,35.666378
10.5,1,35.670349
-13,1,35.673313
5.5,1,35.675307
8.5,1,35.677335
-13,1,35.681291
3.0,1,35.684331
8.0,1,35.686277
10.0,1,35.689269
2.5,1,35.693259
9.5,1,35.696275
4.5,1,35.698271
7.5,1,35.700263
0.5,1,35.705235
1.0,1,35.708241
6.0,1,35.710238
7.0,1,35.713254
11.5,1,35.717244
6.5,1,35.719229
5.0,1,35.722238
11.0,1,35.724199
8.0,1,35.729167
10.0,1,35.731161
4.5,1,35.734173
8.5,1,35.736179
13.0,1,35.740133
2.0,1,35.74215
7.0,1,35.745127
5.5,1,35.74715
7.5,1,35.751153
5.5,1,35.753101
8.5,1,35.75609
3.5,1,35.758109
8.0,1,35.763072
4.5,1,35.765067
8.5,1,35.767062
12.0,1,35.769057
13.5,1,35.773551
-13,1,35.775525
2.5,1,35.778555
6.0,1,35.78054
4.0,1,35.784478
5.5,1,35.787501
9.0,1,35.789465
5.5,1,35.79149
3.5,1,35.795971
10.0,1,35.798961
9.0,1,35.800956
7.5,1,35.80295
8.0,1,35.807934
8.5,1,35.810925
-13,1,35.81292
14.0,1,35.814914
-13,1,35.819938
11.0,1,35.821897
7.0,1,35.82489
11.0,1,35.826893
5.0,1,35.831902
13.5,1,35.833899
10.5,1,35.835891
1.5,1,35.837885
9.0,1,35.842842
6.0,1,35.845865
3.0,1,35.847862
6.0,1,35.849856
10.0,1,35.853847
10.0,1,35.855829
3.5,1,35.858829
2.5,1,35.860793
11.5,1,35.864817
3.0,1,35.867778
3.0,1,35.8698
5.5,1,35.871796
-13,1,35.876751
5.0,1,35.878776
9.0,1,35.881771
5.0,1,35.883767
10.0,1,35.88783
5.5,1,35.889799
8.5,1,35.892837
5.0,1,35.894823
4.0,1,35.899324
2.5,1,35.90132
5.5,1,35.903315
8.5,1,35.906275
11.0,1,35.910261
2.5,1,35.913256
10.0,1,35.915251
8.5,1,35.91827
7.0,1,35.922276
11.5,1,35.925266
5.5,1,35.927215
5.5,1,35.929214
1.5,1,35.933234
12.0,1,35.936224
3.5,1,35.93822
6.5,1,35.94018
8.0,1,35.945208
7.0,1,35.947195
4.0,1,35.950195
11.5,1,35.952186
3.0,1,35.95717
1.0,1,35.959154
7.5,1,35.962172
6.0,1,35.964163
6.0,1,35.968157
2.0,1,35.971152
4.0,1,35.973093
4.0,1,35.975091
10.5,1,35.980078
2.0,1,35.982072
9.0,1,35.985103
-13,1,35.987085
6.5,1,35.991074
9.0,1,35.994037
6.5,1,35.996035
8.0,1,35.998029
9.5,1,36.003014
8.5,1,36.006009
8.0,1,36.008002
9.5,1,36.009998
10.0,1,36.014984
5.5,1,36.01698
-13,1,36.019971
8.5,1,36.021985
12.0,1,36.025957
2.5,1,36.028966
7.0,1,36.031948
6.0,1,36.033937
4.5,1,36.037927
3.0,1,36.039914
8.0,1,36.04291
5.5,1,36.044906
2.0,1,36.049887
4.0,1,36.051886
7.0,1,36.05388
8.0,1,36.056902
4.5,1,36.061857
5.5,1,36.063875
3.5,1,36.066878
4.5,1,36.068888
8.0,1,36.072839
6.5,1,36.075818
2.5,1,36.077817
5.0,1,36.080809
5.5,1,36.0848
5.5,1,36.086794
1.5,1,36.08883
7.5,1,36.0918
8.5,1,36.09577
10.0,1,36.098801
10.0,1,36.100783
8.0,1,36.102778
3.0,1,36.106767
1.5,1,36.109728
10.0,1,36.111722
9.5,1,36.114748
10.5,1,36.118737
3.0,1,36.120732
10.0,1,36.122717
6.5,1,36.12571
5.0,1,36.129674
8.5,1,36.13267
10.5,1,36.134667
8.0,1,36.136659
10.5,1,36.141646
3.0,1,36.143638
5.5,1,36.146632
2.5,1,36.148627
9.0,1,36.152647
2.0,1,36.154641
6.5,1,36.157624
3.0,1,36.159595
13.0,1,36.164144
7.5,1,36.166141
6.5,1,36.16812
5.5,1,36.171123
6.0,1,36.175079
6.0,1,36.177084
5.0,1,36.180065
8.5,1,36.18206
5.5,1,36.186049
11.5,1,36.188084
6.0,1,36.191036
1.5,1,36.194028
4.5,1,36.198065
6.5,1,36.200064
4.0,1,36.203052
-10,1,36.205049
7.0,1,36.209009
-13,1,36.212028
12.5,1,36.214015
11.5,1,36.217017
6.5,1,36.219996
1.5,1,36.222967
-13,1,36.224946
10.0,1,36.227937
5.0,1,36.231973
7.0,1,36.233969
5.5,1,36.235965
6.5,1,36.238956
-13,1,36.242918
9.5,1,36.245909
5.0,1,36.247905
6.0,1,36.249926
7.0,1,36.254881
10.5,1,36.256876
7.0,1,36.258871
1.0,1,36.261862
5.5,1,36.265903
0.0,1,36.267899
5.0,1,36.269881
-13,1,36.272857
12.5,1,36.276854
8.5,1,36.279814
7.0,1,36.281855
9.5,1,36.283846
10.0,1,36.287794
4.5,1,36.29081
-13,1,36.292806
4.0,1,36.295776
11.0,1,36.299767
6.0,1,36.30178
4.0,1,36.303777
7.0,1,36.306775
3.5,1,36.310732
6.0,1,36.313725
11.0,1,36.315753
7.5,1,36.318746
6.0,1,36.322733
7.0,1,36.324722
9.0,1,36.326714
-13,1,36.3297
12.5,1,36.333704
2.5,1,36.3357
7.5,1,36.337692
3.0,1,36.340697
12.5,1,36.344643
4.0,1,36.347635
9.0,1,36.35063
7.5,1,36.352624
8.5,1,36.356613
7.0,1,36.359602
-13,1,36.3616
2.0,1,36.363596
10.0,1,36.367629
7.5,1,36.370605
7.5,1,36.372604
9.5,1,36.374587
6.0,1,36.379583
7.0,1,36.381576
5.5,1,36.383572
4.5,1,36.386562
10.0,1,36.390534
4.5,1,36.392544
8.5,1,36.39554
8.5,1,36.397533
7.0,1,36.401494
3.5,1,36.403527
-13,1,36.405523
4.0,1,36.408471
4.0,1,36.412492
10.0,1,36.414478
7.5,1,36.417482
6.5,1,36.419472
1.0,1,36.424467
8.0,1,36.426456
9.0,1,36.429463
8.5,1,36.431463
10.0,1,36.4354
7.0,1,36.438395
9.0,1,36.440418
9.5,1,36.443378
4.5,1,36.447133
5.0,1,36.450125
9.5,1,36.45212
2.5,1,36.454114
8.0,1,36.459134
9.5,1,36.462092
4.5,1,36.46413
3.5,1,36.466105
6.5,1,36.471119
11.5,1,36.473087
9.0,1,36.47507
2.0,1,36.478085
4.5,1,36.482503
8.5,1,36.484498
3.5,1,36.486494
-10,1,36.489485
1.0,1,36.493456
4.0,1,36.496423
-12,1,36.498442
-13,1,36.500443
4.0,1,36.504401
3.5,1,36.506414
6.5,1,36.509406
9.0,1,36.5114
10.5,1,36.515366
5.5,1,36.518361
10.0,1,36.520402
1.5,1,36.522377
7.0,1,36.527335
3.0,1,36.529369
7.5,1,36.531356
-13,1,36.534351
3.5,1,36.538341
4.5,1,36.541296
4.0,1,36.543291
8.5,1,36.545286
8.5,1,36.550304
10.5,1,36.552304
9.5,1,36.554296
8.5,1,36.557255
7.0,1,36.562246
12.0,1,36.564239
4.5,1,36.566268
4.5,1,36.569249
9.0,1,36.573249
9.5,1,36.575242
6.0,1,36.578233
2.5,1,36.580231
10.5,1,36.584222
5.0,1,36.586215
3.0,1,36.589233
11.0,1,36.591203
2.5,1,36.596189
10.5,1,36.598183
4.5,1,36.600179
4.5,1,36.602202
7.5,1,36.60616
4.0,1,36.609154
3.0,1,36.611145
5.5,1,36.614136
5.5,1,36.618126
6.0,1,36.62012
8.5,1,36.622115
2.5,1,36.625107
9.0,1,36.629097
1.0,1,36.632138
2.0,1,36.634136
5.0,1,36.636128
8.0,1,36.640069
3.5,1,36.64306
6.0,1,36.645054
7.0,1,36.64807
6.5,1,36.65207
1.0,1,36.654064
5.5,1,36.65606
7.0,1,36.659051
4.5,1,36.664004
3.0,1,36.665998
5.5,1,36.66899
4.0,1,36.670985
8.5,1,36.675008
10.5,1,36.677989
12.0,1,36.680962
5.0,1,36.682957
-13,1,36.686992
7.0,1,36.688977
11.5,1,36.691963
15.0,1,36.693924
7.0,1,36.698314
9.0,1,36.7003
4.5,1,36.703295
8.0,1,36.70529
7.5,1,36.709289
4.0,1,36.712286
6.5,1,36.714267
4.0,1,36.717263
8.0,1,36.721253
9.0,1,36.723241
8.0,1,36.725244
5.5,1,36.728251
7.0,1,36.733186
4.0,1,36.735228
7.0,1,36.73721
10.5,1,36.739197
12.5,1,36.744154
4.5,1,36.747145
8.0,1,36.749144
3.0,1,36.751184
-13,1,36.755125
7.0,1,36.75712
-13,1,36.760112
6.0,1,36.762107
2.5,1,36.766147
7.0,1,36.769137
4.0,1,36.771132
5.0,1,36.773076
12.0,1,36.778063
8.0,1,36.780091
-13,1,36.782076
11.5,1,36.785093
-13,1,36.789067
11.0,1,36.792027
9.0,1,36.795019
9.0,1,36.797012
-13,1,36.801002
8.0,1,36.803998
13.0,1,36.806042
3.5,1,36.80898
1.5,1,36.81302
9.0,1,36.815005
-13,1,36.817989
-13,1,36.819951
7.0,1,36.823946
6.5,1,36.826936
1.5,1,36.828927
9.0,1,36.830925
-13,1,36.835912
-13,1,36.837909
10.5,1,36.839921
7.0,1,36.842891
10.0,1,36.846934
3.0,1,36.848924
1.5,1,36.851917
8.5,1,36.853895
12.5,1,36.858848
5.0,1,36.860842
3.5,1,36.862885
12.0,1,36.865883
7.0,1,36.869869
6.5,1,36.872845
-13,1,36.874827
8.0,1,36.876824
3.5,1,36.881819
8.5,1,36.883804
5.0,1,36.886806
9.5,1,36.888802
11.0,1,36.89278
8.0,1,36.895749
9.5,1,36.897777
9.5,1,36.900735
5.5,1,36.904729
6.0,1,36.906722
6.5,1,36.909712
11.5,1,36.911707
8.0,1,36.916696
10.5,1,36.918687
6.5,1,36.921724
6.5,1,36.923674
9.0,1,36.927666
7.0,1,36.930659
-13,1,36.932653
2.0,1,36.934648
7.0,1,36.938641
7.0,1,36.94165
1.5,1,36.94363
6.5,1,36.946612
1.5,1,36.950601
5.5,1,36.952646
3.0,1,36.954633
6.0,1,36.957585
10.5,1,36.962608
9.5,1,36.964599
0.0,1,36.966585
7.0,1,36.969584
11.0,1,36.973591
5.0,1,36.975534
5.0,1,36.977531
9.0,1,36.980572
6.5,1,36.984561
8.5,1,36.986555
8.0,1,36.988539
9.0,1,36.991516
9.5,1,36.995517
9.0,1,36.998532
-10,1,37.000507
9.0,1,37.002498
7.5,1,37.007452
5.0,1,37.009446
11.5,1,37.012438
2.0,1,37.014432
12.0,1,37.01846
6.0,1,37.021449
8.5,1,37.023442
2.0,1,37.026432
10.0,1,37.031422
4.5,1,37.033414
9.5,1,37.035427
10.5,1,37.038416
5.5,1,37.043378
11.5,1,37.046347
1.5,1,37.048384
8.0,1,37.051366
-11,1,37.055356
-13,1,37.057319
10.0,1,37.060333
0.5,1,37.062337
7.5,1,37.066977
9.5,1,37.068975
6.0,1,37.070969
3.0,1,37.07296
5.0,1,37.077914
12.5,1,37.079949
2.5,1,37.081936
6.0,1,37.084927
0.5,1,37.08892
-13,1,37.090912
5.0,1,37.092898
9.0,1,37.095869
0.5,1,37.09986
3.0,1,37.102891
9.5,1,37.104874
5.5,1,37.106859
6.0,1,37.111824
5.5,1,37.114818
6.5,1,37.116813
-10,1,37.118828
7.5,1,37.122794
-13,1,37.125785
6.5,1,37.127781
10.5,1,37.129801
6.0,1,37.134796
3.5,1,37.13678
9.0,1,37.138775
10.0,1,37.141743
7.5,1,37.146761
4.5,1,37.148757
5.5,1,37.151769
9.5,1,37.153761
-10,1,37.157743
11.0,1,37.160716
3.0,1,37.162711
12.5,1,37.164716
8.0,1,37.16867
5.5,1,37.171662
10.5,1,37.173657
7.0,1,37.175651
-13,1,37.181638
10.5,1,37.184628
7.0,1,37.186659
3.0,1,37.188651
2.5,1,37.193638
10.0,1,37.196596
9.0,1,37.198622
10.5,1,37.200617
4.5,1,37.204575
2.0,1,37.207567
2.0,1,37.209566
10.5,1,37.21156
-13,1,37.216547
5.5,1,37.218541
4.0,1,37.220537
8.0,1,37.223551
12.0,1,37.228518
7.0,1,37.230505
6.5,1,37.233501
5.5,1,37.235496
9.5,1,37.239819
7.5,1,37.241787
-13,1,37.244797
9.0,1,37.246786
7.5,1,37.250773
9.5,1,37.252766
5.0,1,37.254759
9.5,1,37.257721
10.0,1,37.261746
8.5,1,37.264736
6.5,1,37.266744
6.0,1,37.268721
9.5,1,37.273709
8.5,1,37.276703
4.5,1,37.278695
9.5,1,37.281686
5.5,1,37.284648
5.5,1,37.287678
4.5,1,37.289669
12.0,1,37.291653
10.5,1,37.296621
8.0,1,37.298614
10.5,1,37.301633
9.0,1,37.303639
5.0,1,37.307588
15.0,1,37.309606
6.5,1,37.312608
6.5,1,37.314603
9.5,1,37.318589
8.0,1,37.321582
7.5,1,37.323578
1.0,1,37.325567
5.5,1,37.330556
12.5,1,37.332544
5.5,1,37.334548
4.0,1,37.336532
10.0,1,37.341497
6.5,1,37.343515
2.5,1,37.346513
4.5,1,37.348511
13.5,1,37.3525
8.0,1,37.354495
10.0,1,37.357454
10.5,1,37.359472
5.5,1,37.364468
8.5,1,37.366463
4.0,1,37.368458
8.5,1,37.370443
10.5,1,37.37441
5.5,1,37.377401
11.5,1,37.380394
6.0,1,37.382388
5.0,1,37.387398
12.0,1,37.389369
6.0,1,37.39236
2.0,1,37.395353
4.5,1,37.400338
8.5,1,37.403331
7.5,1,37.405326
4.5,1,37.408319
7.0,1,37.413304
9.0,1,37.416297
5.0,1,37.418291
2.5,1,37.421283
11.0,1,37.425273
6.5,1,37.428264
12.0,1,37.431256
6.5,1,37.43325
-13,1,37.438237
9.0,1,37.440231
3.5,1,37.443224
8.5,1,37.446218
2.5,1,37.451205
5.0,1,37.453199
-13,1,37.45619
4.5,1,37.458186
6.5,1,37.464169
-0.5,1,37.467159
7.5,1,37.469154
7.5,1,37.472147
4.5,1,37.477136
6.5,1,37.47913
2.5,1,37.482121
7.5,1,37.484116
11.0,1,37.489102
0.0,1,37.492094
7.5,1,37.494089
7.5,1,37.497082
8.0,1,37.502067
9.5,1,37.505064
6.5,1,37.508053
10.0,1,37.511044
11.0,1,37.515036
11.5,1,37.518028
7.0,1,37.520022
13.0,1,37.522017
7.0,1,37.527001
6.5,1,37.529048
11.0,1,37.530992
6.0,1,37.534035
8.5,1,37.538022
11.0,1,37.540005
4.5,1,37.542998
6.0,1,37.544952
7.0,1,37.549978
9.5,1,37.552967
8.5,1,37.554961
5.5,1,37.556956
11.0,1,37.561909
6.5,1,37.564933
13.0,1,37.56693
6.0,1,37.568924
7.5,1,37.573474
8.5,1,37.575459
8.0,1,37.578455
10.0,1,37.580459
12.0,1,37.584445
3.5,1,37.586442
5.0,1,37.589432
6.5,1,37.591394
11.0,1,37.597377
3.5,1,37.599372
12.5,1,37.6024
8.0,1,37.604392
1.0,1,37.608349
6.5,1,37.611341
2.0,1,37.613367
9.0,1,37.61636
8.5,1,37.620365
8.0,1,37.622334
7.0,1,37.625335
10.5,1,37.627329
4.0,1,37.632333
3.0,1,37.634331
7.0,1,37.636313
-2.0,1,37.639315
8.5,1,37.643255
4.5,1,37.646271
8.5,1,37.648276
4.0,1,37.650272
9.0,1,37.65426
9.5,1,37.656256
7.5,1,37.659246
4.5,1,37.661239
7.0,1,37.666198
1.5,1,37.668192
5.5,1,37.670215
5.0,1,37.673205
12.0,1,37.677164
5.0,1,37.680205
5.5,1,37.682186
2.5,1,37.68418
7.5,1,37.688135
12.0,1,37.691127
9.0,1,37.693121
5.0,1,37.696113
2.5,1,37.700156
14.0,1,37.702141
7.0,1,37.705141
4.5,1,37.707134
8.5,1,37.711097
6.5,1,37.714118
11.0,1,37.716109
-13,1,37.718086
5.0,1,37.723067
4.5,1,37.725074
7.0,1,37.728057
6.5,1,37.730058
7.0,1,37.734047
6.0,1,37.737042
3.0,1,37.739036
10.5,1,37.740997
10.5,1,37.745981
5.5,1,37.747979
9.0,1,37.749997
13.5,1,37.752986
8.0,1,37.756988
6.5,1,37.759981
3.0,1,37.761939
2.5,1,37.764962
4.0,1,37.768924
6.0,1,37.770918
5.0,1,37.773951
3.0,1,37.775928
5.5,1,37.780939
7.5,1,37.782881
6.5,1,37.785899
1.0,1,37.78792
9.5,1,37.791859
10.5,1,37.794887
9.0,1,37.796878
9.5,1,37.798872
10.0,1,37.802834
3.5,1,37.805824
5.5,1,37.807816
11.0,1,37.809813
-1.5,1,37.8148
0.0,1,37.81684
11.5,1,37.81883
-13,1,37.82082
8.0,1,37.825768
6.0,1,37.827763
4.5,1,37.830788
6.5,1,37.832782
4.0,1,37.836773
11.5,1,37.838769
7.0,1,37.841725
3.5,1,37.843745
11.0,1,37.847741
5.0,1,37.850739
8.5,1,37.852732
7.5,1,37.854726
10.5,1,37.859678
5.5,1,37.86267
6.5,1,37.864699
5.0,1,37.867707
3.0,1,37.871652
0.5,1,37.873644
3.5,1,37.876657
8.0,1,37.878633
3.0,1,37.882621
6.5,1,37.885611
6.0,1,37.887606
0.0,1,37.889634
7.5,1,37.894588
6.0,1,37.897575
5.5,1,37.89957
10.5,1,37.901564
-13,1,37.905606
3.0,1,37.908583
8.0,1,37.911539
8.0,1,37.913581
5.5,1,37.917554
12.0,1,37.919548
4.5,1,37.922542
9.5,1,37.924504
3.5,1,37.92952
0.5,1,37.931519
10.0,1,37.933511
-10,1,37.936504
6.0,1,37.940499
5.0,1,37.942479
8.5,1,37.945449
4.0,1,37.94748
6.0,1,37.951441
2.0,1,37.954424
3.0,1,37.956422
4.5,1,37.958446
7.5,1,37.963435
6.5,1,37.965428
8.5,1,37.967421
3.5,1,37.97042
9.0,1,37.974373
-13,1,37.976396
15.0,1,37.97939
10.0,1,37.981376
9.5,1,37.98638
6.5,1,37.989364
6.5,1,37.991326
5.0,1,37.993343
12.0,1,37.998342
-13,1,38.000335
4.5,1,38.002322
11.0,1,38.004316
9.0,1,38.009276
6.5,1,38.011271
8.0,1,38.013292
-13,1,38.016309
6.0,1,38.020282
5.0,1,38.022275
8.5,1,38.024266
-13,1,38.027252
11.5,1,38.031251
8.5,1,38.034245
2.5,1,38.036242
10.5,1,38.038237
3.5,1,38.042217
5.5,1,38.045206
7.5,1,38.047203
6.5,1,38.049207
8.5,1,38.053161
10.5,1,38.056188
